id_bien,adresse,surf_carrez,nb_lot,type_local,surf_reelle,nb_piece,idcom
78158AI17851,42  RUE DE VERSAILLES,41.13,2,Appartement,30,3,2351
78686AE24328,5  RUE HENRI WELSCHINGER,58.84,1,Appartement,58,3,2345
78143AC1432,60  RUE D ORS,83.69,1,Maison,57,3,2354
78621BD2059,1 B RUE DE PORT ROYAL,77.71,1,Appartement,77,4,2348
78545AC15193,1 D PROM DES ANGES,66.7,1,Appartement,67,3,2343
78158AH494235,1  AV DE ROCQUENCOURT,52.83,1,Appartement,52,2,2351
78646BW1474,36  RUE EDOUARD CHARTON,81.36,2,Appartement,75,3,2342
78545AE16577,1  ALL RENE FONCK,59.3,1,Appartement,59,3,2343
78621BD5411,32  AV P VAILLANT COUTURIER,30.11,2,Appartement,51,3,2348
78423AH19348,27  RUE DU CHAMP D AVOINE,94.37,1,Appartement,95,5,2346
78646BK2401,102  RUE YVES LE COZ,80.23,3,Appartement,83,4,2342
78297BT39419,20 Q RTE DE TROUX,61.48,2,Appartement,59,3,2349
78423AZ39959,32  RUE DE BOURGOGNE,93.34,1,Maison,94,4,2346
78545AB8944,6  RUE LUCIEN SAMPAIX,20.5,1,Appartement,20,1,2343
78646BN166768,86  AV DE PARIS,94.34,2,Appartement,93,5,2342
78640AM2241,2  RUE DIVISION LECLERC,79.79,2,Appartement,79,4,2347
78646AH14211,25  RUE DE SATORY,33.25,1,Appartement,47,2,2342
78646BR541,1  RUE DE L ASSEMBLEE NATIONALE,47.25,1,Appartement,48,2,2342
78423AD4511,21  AV DU CENTRE,111.62,2,Appartement,101,5,2346
78621BD2425,12  RUE JEAN JAURES,61.8,2,Appartement,59,3,2348
78646AE11225,47  RUE DE LA PAROISSE,82.01,3,Appartement,70,3,2342
78158AH1919,61  RUE DE GLATIGNY,53.29,2,Appartement,52,3,2351
78646AX1721,89  AV DE SAINT CLOUD,121.68,2,Appartement,110,5,2342
78423AT65726,29  RUE DE L AUBEPINE,142.14,1,Maison,143,5,2346
7873BA354302,19  RUE JEAN GABIN,45.89,1,Appartement,46,2,2344
78646AS3011,22  RUE LOUIS HAUSSMANN,78.63,1,Appartement,79,4,2342
78322AB61134,4  RUE DES PICOTEUSES,163.19,1,Maison,162,8,2352
78646AH14326,23  RUE DE SATORY,32,2,Appartement,32,1,2342
78297AB4820,2  RUE MARGUERITE BERVOETS,124.81,1,Appartement,128,6,2349
78646AS54233,59  AV DES ETATS UNIS,80,1,Appartement,76,5,2342
78545AB1861,11  RUE CARNOT,157.83,1,Maison,125,4,2343
78372AE809247,9  RES DE LA SABOTTE,53.05,2,Appartement,55,3,2355
78650AR2554,17  RUE DE VERDUN,50.64,2,Appartement,51,2,2356
78372AD3584207,26  ALL CLAUDE MONET,52.53,2,Appartement,53,2,2355
78490AS5458,1 B RUE FRANCOIS-R CHATEAUBRIAND,56.51,1,Appartement,57,3,2357
78165AO343311,7  ALL DE L AQUEDUC,46.07,2,Appartement,46,2,2358
78372AB18148,8  SQ DES AUBADES,67.6,2,Appartement,66,4,2355
78490AH19610,5  AV DE SAINT GERMAIN,45.71,2,Appartement,46,2,2357
78358AM19416,14  RUE DE LORRAINE,27.42,2,Appartement,28,1,2359
78358AL51659,57  AV DE SAINT GERMAIN,27.01,2,Appartement,25,1,2359
78586AX2363,6  AV JEAN JAURES,17.78,1,Appartement,20,1,2360
78165AC50366,8  RUE ALBERT CAMUS,66.43,2,Appartement,68,4,2358
78350AN5091,4  ALL HELENE LAZAREFF,89.41,1,Appartement,89,4,2361
78586AL16104,1  RUE MAETERLINCK,74,1,Appartement,74,3,2360
78358AV5227,94  RUE JEAN MERMOZ,106.19,2,Appartement,105,5,2359
78372AD6655117,12  AV AUGUSTE RENOIR,65.51,2,Appartement,65,3,2355
78190AK781,6 B AV DE WAILLY,23.62,2,Appartement,23,1,2362
78124BT345,15  RTE DE CHATOU,14.4,1,Appartement,14,1,2363
78311AN1443,4  RUE ERNEST RENAN,21.4,1,Appartement,21,1,2364
78224AK125633,12  RTE DE SAINT NOM,41.6,2,Appartement,42,1,2365
78372AB172,1  SQ DES SABLONS,81.16,2,Appartement,81,5,2355
78372AB17129,7  SQ DES SABLONS,66.65,2,Appartement,66,4,2355
78586BP575133,2  RUE DE VERDUN,54.17,2,Appartement,55,3,2360
78146AI725133,2  QUAI DE L AMIRAL MOUCHEZ,75.16,2,Appartement,75,3,2366
78358AL51660,57  AV DE SAINT GERMAIN,111,2,Appartement,112,5,2359
78674AK31512,16  AV DU GRAND CANAL,59.49,1,Appartement,59,3,2367
78165AC2918,1  AV MONTAIGNE,56.83,2,Appartement,54,3,2358
78146AC53941,1  RUE DE L AMANDIER,41.51,2,Appartement,50,1,2366
78502AB717,16  RUE DE PARIS,68.6,2,Appartement,68,3,2368
78165AC17112,2  ALL GOUNOD,51.18,2,Appartement,53,2,2358
78311AO892122,95  RUE HOCHE,61.22,1,Appartement,68,2,2364
78146AT24110,22  RUE LABELONYE,60.68,2,Appartement,60,3,2366
78358AI4079,15  RUE MASSON,37.89,1,Appartement,36,2,2359
78490AZ52513,163  AV DES BAUGES,44.39,1,Appartement,44,2,2357
78358AP55117,15  AV CREBILLON,49.58,2,Appartement,49,2,2359
78372AC1191,33  ALL DES EPINES,105.12,2,Appartement,105,5,2355
78586BE20132,1  RUE LAMARTINE,14.67,2,Appartement,16,1,2360
78586AT57215,159  AV MAURICE BERTEAUX,66.9,1,Appartement,66,3,2360
78124BE23913,21 B RUE DU COLOMBIER,22.61,1,Appartement,36,1,2363
78418AI10134,17  RUE DU CLOS DU PARC,65.6,1,Appartement,66,3,2369
78586BE8114,48  AV JEAN JAURES,47.16,1,Appartement,47,2,2360
78124BT491,4  RUE GABRIEL PERI,184.21,1,Maison,134,5,2363
78358AI41411,3  RUE MASSON,64.78,2,Appartement,70,2,2359
78396AM351,10  BD PAYMAL,78.71,4,Maison,90,5,2370
7892AO32432,3  RES TROIS FORETS,75.76,2,Appartement,74,4,2371
78124BP1130,1  RUE GUSTAVE CAILLEBOTTE,60.04,1,Appartement,62,3,2363
78502AH21530,12  RUE DE PARIS,26.15,1,Appartement,30,1,2368
78586AZ509180,31 B RUE LEBON,66.87,2,Appartement,70,4,2360
78311AL14411,159  BD JEAN JAURES,23.06,2,Appartement,25,2,2364
78126AK166557,19  ALL GRANDE TERRE,82.11,1,Appartement,75,3,2372
78490AY3861,86  AV DES SABLONS,49.52,1,Appartement,50,2,2357
78650AM492,14 B RTE DE LA FAISANDERIE,63.5,1,Maison,61,3,2356
78124BC408109,5  RUE HENRY DE MONTHERLANT,61.52,1,Appartement,62,3,2363
78311AR625112,48  RUE GAMBETTA,64.09,2,Appartement,65,3,2364
78490AH192129,22  RUE DES EBISOIRES,45.36,2,Appartement,46,2,2357
78490AH19681,5  AV DE SAINT GERMAIN,44.36,2,Appartement,46,2,2357
78146AT24814,17  PL MAURICE BERTEAUX,10.27,2,Appartement,15,1,2366
78146AC498225,22  AV GAMBETTA,39.31,2,Appartement,35,1,2366
78146AB1109646,30  AV GUY DE MAUPASSANT,48.99,2,Appartement,49,2,2366
78586AE11820,20  ALL ARTHUR RIMBAUD,141,1,Maison,80,4,2360
78418AI6046,9  RUE DU CLOS DU PARC,24.54,1,Appartement,24,1,2369
78650AN32811,16 B RUE DU MARECHAL FOCH,45.29,1,Appartement,28,2,2356
78350AR143,19  RUE DE LA PRINCESSE,47.65,1,Appartement,51,2,2361
78502AI242433,3  RUE DE LA FONTAINE ST MARTIN,66.6,1,Appartement,67,3,2368
78490AH81291,29  RUE DES EBISOIRES,71.73,2,Appartement,69,3,2357
7892AK208105,78  RUE DU MAL JOFFRE,49.12,1,Appartement,45,3,2371
78455AD22910,69  RUE ANDRE LE BOURBLANC,21.65,1,Maison,21,1,2373
78490BC21966,18  RUE ALEXANDRE DUMAS,44.72,1,Appartement,45,2,2357
78490AW44101,74  RUE DU PETIT BOIS,54.65,1,Appartement,46,2,2357
78358AO241255,28  AV FRANCOIS MANSART,53.26,2,Appartement,54,3,2359
78358AL37614,72 B AV DE SAINT GERMAIN,49.86,2,Appartement,54,2,2359
78358AL594138,27 B RUE ETIENNE PEROUX,79.63,2,Appartement,80,3,2359
78586BN191105,52  AV DE LA REPUBLIQUE,78.31,1,Appartement,79,4,2360
78586AL16245,11  RUE MAETERLINCK,53,1,Appartement,56,2,2360
78418AV3442,2  RUE PRESIDENT RENE COTY,100.35,1,Appartement,85,3,2369
78372AL17216,10  RUE DE VISEU,60.37,2,Appartement,60,3,2355
78372AD3536078,69  AV AUGUSTE RENOIR,71.58,2,Appartement,70,3,2355
78586AH470314,2  AV DU VAL NOTRE DAME,61.85,1,Appartement,52,2,2360
78490AW44553,40  RUE DU PETIT BOIS,82.23,2,Appartement,80,4,2357
78358AE16916,9001  SQ LE KAIN,57.5,2,Appartement,57,4,2359
78126AP45214,102  AV JEAN MOULIN,59.38,2,Appartement,60,3,2372
78165AM14635,2  RES LES FOUGERES,82.01,2,Appartement,83,5,2358
78586AR1013,20  RTE DE CORMEILLES,33,1,Appartement,34,2,2360
78126AH250407,16  AV DE CIRCOURT,120.3,1,Appartement,120,5,2372
78490BC19149,28  RUE DE LA FERRONNERIE,70.42,2,Appartement,69,3,2357
78358AL59621,2  RUE SAINT MARTIN,20.41,2,Appartement,24,1,2359
78146AC53914,3  RUE DE L AMANDIER,34.79,2,Appartement,35,1,2366
